Status,Time,Card_Type,City,Amount,ID,Amount_Type,Hour
Fail,2025-09-30 09:09:00,Visa,Tabriz,177050.0,40,Payment,9
Fail,2025-09-04 14:00:00,Master Card,Tehran,1578078.0,99,Payment,14
Success,2025-09-14 23:59:00,Amex,Shiraz,1427657.0,69,Payment,23
Success,2025-09-16 01:01:00,Master Card,Tehran,-5000.0,96,Refund,1
Fail,2025-09-15 22:27:00,Unknown,Tabriz,585954.0,77,Payment,22
Fail,2025-09-08 23:17:00,Discover,Tabriz,99999.0,43,Payment,23
Success,2025-09-14 17:07:00,Amex,Karaj,0.0,1,Zero_Amount,17
Success,2025-09-23 19:29:00,Visa,Tehran,1427657.0,22,Payment,19
Success,2025-09-28 02:37:00,Discover,Karaj,343679.0,62,Payment,2
Fail,2025-09-25 19:40:00,Master Card,Karaj,1782689.0,79,Payment,19
Success,2025-09-30 13:10:00,Visa,Isfahan,1782689.0,26,Payment,13
Fail,2025-09-08 11:11:00,Amex,Karaj,555555.0,18,Payment,11
Fail,2025-09-21 03:27:00,Visa,Ahvaz,12345.0,48,Payment,3
Fail,2025-09-16 07:08:00,Visa,Ahvaz,333333.0,9,Payment,7
Success,2025-09-13 10:48:00,Master Card,Karaj,200000.0,1,Payment,10
Fail,2025-09-18 02:24:00,Master Card,Tehran,914465.0,9,Payment,2
Success,2025-09-15 09:45:00,Visa,Shiraz,250000.0,23,Payment,9
Success,2025-09-21 13:10:00,Unknown,Mashhad,471227.0,45,Payment,13
Success,2025-09-24 15:45:00,Visa,Tehran,1463119.0,2,Payment,15
Success,2025-09-26 07:07:00,Visa,Shiraz,1427657.0,14,Payment,7
Success,2025-09-25 21:23:00,Visa,Shiraz,100000.0,38,Payment,21
Success,2025-09-28 04:40:00,Visa,Unknown,100.5,40,Payment,4
Fail,2025-09-28 23:59:00,Visa,Tehran,583952.0,63,Payment,23
Success,2025-09-28 21:23:00,Visa,Tabriz,9999999999.0,82,Payment,21
Success,2025-09-13 00:00:00,Master Card,Shiraz,333333.0,16,Payment,0
Success,2025-09-09 08:08:00,Discover,Tabriz,0.0,94,Zero_Amount,8
Fail,2025-09-29 14:11:00,Master Card,Isfahan,-1.0,75,Refund,14
Fail,2025-09-15 11:11:00,Discover,Tehran,555555.0,6,Payment,11
Fail,2025-09-13 06:06:00,Visa,Qom,452545.0,3,Payment,6
Fail,2025-09-01 16:40:00,Discover,Tehran,100.5,14,Payment,16
Success,2025-09-25 09:00:00,Discover,Tabriz,0.0,66,Zero_Amount,9
Fail,2025-09-07 18:12:00,Master Card,Tehran,205000.0,97,Payment,18
Fail,2025-09-09 08:08:00,Discover,Qom,9999999999.0,96,Payment,8
Fail,2025-09-24 08:08:00,Master Card,Tehran,343679.0,75,Payment,8
Fail,2025-09-01 09:09:00,Master Card,Tehran,177050.0,87,Payment,9
Fail,2025-09-12 12:12:00,Visa,Qom,-999999.0,67,Refund,12
Success,2025-09-08 16:40:00,Master Card,Tehran,774681.0,31,Payment,16
Success,2025-09-24 16:40:00,Visa,Tabriz,100.5,33,Payment,16
Fail,2025-09-11 23:17:00,Visa,Shiraz,1000.0,89,Payment,23
Fail,2025-09-19 02:37:00,Master Card,Isfahan,120000.0,1,Payment,2
Fail,2025-09-17 16:40:00,Visa,Mashhad,850000.0,44,Payment,16
Fail,2025-09-08 22:27:00,Visa,Tehran,412308.0,15,Payment,22
Success,2025-09-03 02:37:00,Master Card,Isfahan,5000.0,37,Payment,2
Success,2025-09-03 03:27:00,Discover,Isfahan,545116.0,27,Payment,3
Fail,2025-09-01 02:37:00,Master Card,Karaj,419089.0,48,Payment,2
Fail,2025-09-27 19:40:00,Discover,Tabriz,-999999.0,27,Refund,19
Success,2025-09-05 16:40:00,Visa,Tehran,100000.0,12,Payment,16
Fail,2025-09-10 02:20:00,Master Card,Tehran,1305967.0,67,Payment,2
Success,2025-09-07 03:27:00,Visa,Tehran,-5000.0,30,Refund,3
Success,2025-09-26 09:09:00,Master Card,Tehran,0.0,97,Zero_Amount,9
Fail,2025-09-09 21:21:00,Amex,Tabriz,419089.0,88,Payment,21
Fail,2025-09-28 00:00:00,Master Card,Qom,976246.0,66,Payment,0
Fail,2025-09-07 23:59:00,Master Card,Tehran,-5000.0,7,Refund,23
Success,2025-09-09 10:48:00,Master Card,Shiraz,1158713.0,34,Payment,10
Success,2025-09-08 16:40:00,Discover,Tehran,0.0,32,Zero_Amount,16
Fail,2025-09-12 19:51:00,Discover,Tehran,914465.0,39,Payment,19
Success,2025-09-02 10:48:00,Master Card,Karaj,1768588.0,97,Payment,10
Success,2025-09-01 04:15:00,Discover,Tabriz,452545.0,43,Payment,4
Fail,2025-09-16 12:34:00,Visa,Tehran,300000.0,43,Payment,12
Success,2025-09-23 07:32:00,Visa,Karaj,-999999.0,78,Refund,7
Success,2025-09-23 22:27:00,Master Card,Ahvaz,1768588.0,3,Payment,22
Success,2025-09-30 18:00:00,Amex,Karaj,1427657.0,46,Payment,18
Fail,2025-09-24 00:00:00,Visa,Tehran,120000.0,32,Payment,0
Fail,2025-09-05 07:32:00,Visa,Mashhad,200000.0,43,Payment,7
Fail,2025-09-03 07:32:00,Visa,Tehran,0.0,81,Zero_Amount,7
Fail,2025-09-12 02:30:00,Amex,Tehran,914282.0,3,Payment,2
Success,2025-09-08 23:17:00,Visa,Tabriz,-5000.0,74,Refund,23
Success,2025-09-22 20:33:00,Visa,Tehran,-5000.0,63,Refund,20
Fail,2025-09-27 07:32:00,Amex,Qom,471227.0,40,Payment,7
Success,2025-09-03 12:12:00,Discover,Tehran,177050.0,18,Payment,12
Fail,2025-09-01 09:09:00,Amex,Isfahan,850000.0,67,Payment,9
Success,2025-09-03 23:59:00,Master Card,Tehran,914465.0,62,Payment,23
Success,2025-09-05 02:37:00,Amex,Isfahan,250000.0,10,Payment,2
Success,2025-09-15 23:59:00,Visa,Shiraz,250000.0,52,Payment,23
Success,2025-09-14 02:30:00,Visa,Isfahan,976246.0,73,Payment,2
Success,2025-09-03 21:10:00,Master Card,Isfahan,900000.0,46,Payment,21
Fail,2025-09-01 18:00:00,Visa,Unknown,0.0,55,Zero_Amount,18
Fail,2025-09-05 05:56:00,Amex,Karaj,250000.0,46,Payment,5
Fail,2025-09-26 19:19:00,Amex,Mashhad,12345.0,75,Payment,19
Fail,2025-09-23 21:21:00,Visa,Qom,1883871.0,60,Payment,21
Success,2025-09-14 07:08:00,Visa,Shiraz,850000.0,98,Payment,7
Success,2025-09-07 02:37:00,Master Card,Tehran,250000.0,26,Payment,2
Success,2025-09-27 01:51:00,Amex,Tehran,300000.0,27,Payment,1
Success,2025-09-09 12:44:00,Visa,Shiraz,585954.0,38,Payment,12
Fail,2025-09-15 19:51:00,Discover,Isfahan,914282.0,22,Payment,19
Fail,2025-09-15 00:00:00,Master Card,Tehran,1502601.0,26,Payment,0
Fail,2025-09-26 02:37:00,Amex,Tabriz,1578078.0,87,Payment,2
Success,2025-09-10 22:27:00,Master Card,Tehran,1578078.0,69,Payment,22
Fail,2025-09-28 00:00:00,Visa,Tehran,200000.0,35,Payment,0
Success,2025-09-13 00:00:00,Visa,Tabriz,0.0,66,Zero_Amount,0
Success,2025-09-19 21:23:00,Discover,Tehran,914282.0,100,Payment,21
Success,2025-09-07 20:33:00,Visa,Shiraz,1000.0,73,Payment,20
Fail,2025-09-17 10:48:00,Amex,Mashhad,1782689.0,51,Payment,10
Fail,2025-09-20 20:33:00,Discover,Qom,419089.0,18,Payment,20
Fail,2025-09-29 00:00:00,Visa,Isfahan,-5000.0,43,Refund,0
Success,2025-09-04 21:23:00,Discover,Mashhad,1158713.0,12,Payment,21
Fail,2025-09-30 10:48:00,Master Card,Ahvaz,443463.0,3,Payment,10
Fail,2025-09-05 10:05:00,Visa,Tabriz,120000.0,82,Payment,10
Success,2025-09-23 13:13:00,Amex,Isfahan,9999999999.0,7,Payment,13
Fail,2025-09-07 12:34:00,Master Card,Tehran,1472823.0,98,Payment,12
Success,2025-09-13 23:17:00,Amex,Tehran,419089.0,6,Payment,23
Success,2025-09-15 01:51:00,Master Card,Tabriz,-5000.0,82,Refund,1
Success,2025-09-11 09:00:00,Amex,Tehran,650000.0,45,Payment,9
Fail,2025-09-29 08:08:00,Discover,Tehran,9999999999.0,87,Payment,8
Fail,2025-09-04 09:45:00,Visa,Tabriz,0.0,39,Zero_Amount,9
Fail,2025-09-13 18:45:00,Master Card,Tehran,1578078.0,51,Payment,18
Fail,2025-09-07 11:11:00,Discover,Tehran,585954.0,9,Payment,11
Fail,2025-09-27 02:54:00,Visa,Isfahan,200000.0,100,Payment,2
Success,2025-09-19 12:44:00,Master Card,Tehran,583952.0,23,Payment,12
Success,2025-09-22 11:11:00,Visa,Ahvaz,1463119.0,12,Payment,11
Fail,2025-09-28 07:32:00,Visa,Ahvaz,177050.0,89,Payment,7
Fail,2025-09-02 23:17:00,Master Card,Isfahan,0.0,62,Zero_Amount,23
Success,2025-09-10 14:11:00,Master Card,Tehran,0.0,73,Zero_Amount,14
Fail,2025-09-13 04:15:00,Visa,Karaj,0.0,77,Zero_Amount,4
Fail,2025-09-30 07:08:00,Amex,Karaj,9999999999.0,40,Payment,7
Success,2025-09-25 02:20:00,Visa,Tehran,0.0,54,Zero_Amount,2
Fail,2025-09-21 23:59:00,Visa,Karaj,100.5,81,Payment,23
Success,2025-09-06 19:40:00,Discover,Tehran,1502601.0,7,Payment,19
Fail,2025-09-28 20:33:00,Master Card,Tabriz,-5000.0,17,Refund,20
Success,2025-09-28 14:11:00,Visa,Karaj,200000.0,50,Payment,14
Fail,2025-09-12 22:27:00,Discover,Karaj,419089.0,24,Payment,22
Fail,2025-09-12 00:00:00,Master Card,Tabriz,200000.0,2,Payment,0
Success,2025-09-20 21:21:00,Amex,Mashhad,-1.0,100,Refund,21
Success,2025-09-30 02:30:00,Visa,Tehran,914465.0,93,Payment,2
Success,2025-09-30 10:05:00,Master Card,Tehran,50200.0,83,Payment,10
Fail,2025-09-11 21:21:00,Visa,Tehran,976246.0,33,Payment,21
Success,2025-09-26 03:27:00,Discover,Qom,200000.0,21,Payment,3
Fail,2025-09-23 21:23:00,Master Card,Shiraz,177050.0,74,Payment,21
Success,2025-09-28 19:19:00,Discover,Tehran,-5000.0,53,Refund,19
Success,2025-09-25 14:55:00,Visa,Qom,-5000.0,46,Refund,14
Success,2025-09-07 14:02:00,Visa,Tabriz,850000.0,45,Payment,14
Success,2025-09-30 14:11:00,Visa,Tehran,443463.0,9,Payment,14
Fail,2025-09-01 02:30:00,Master Card,Tehran,99999.0,6,Payment,2
Fail,2025-09-01 14:00:00,Visa,Mashhad,9999999999.0,51,Payment,14
Success,2025-09-25 13:13:00,Master Card,Karaj,-5000.0,35,Refund,13
Success,2025-09-27 04:04:00,Master Card,Tehran,1463119.0,82,Payment,4
Success,2025-09-30 10:05:00,Visa,Mashhad,976246.0,53,Payment,10
Success,2025-09-25 02:30:00,Master Card,Tabriz,63489.0,19,Payment,2
Success,2025-09-20 10:05:00,Visa,Tehran,177050.0,69,Payment,10
Success,2025-09-13 19:29:00,Visa,Ahvaz,650000.0,25,Payment,19
Fail,2025-09-09 11:11:00,Amex,Mashhad,120000.0,11,Payment,11
Fail,2025-09-03 14:11:00,Master Card,Tabriz,650000.0,74,Payment,14
Fail,2025-09-07 00:00:00,Master Card,Ahvaz,0.0,17,Zero_Amount,0
Success,2025-09-06 05:23:00,Visa,Mashhad,471227.0,36,Payment,5
Success,2025-09-08 02:54:00,Amex,Tehran,-5000.0,91,Refund,2
Fail,2025-09-27 10:48:00,Master Card,Tehran,412308.0,96,Payment,10
Success,2025-09-09 05:56:00,Discover,Tabriz,1305967.0,97,Payment,5
Success,2025-09-30 10:05:00,Visa,Karaj,914282.0,21,Payment,10
Fail,2025-09-05 14:11:00,Visa,Karaj,583952.0,18,Payment,14
Success,2025-09-01 00:00:00,Visa,Tehran,900000.0,60,Payment,0
Success,2025-09-19 03:00:00,Master Card,Mashhad,1768588.0,18,Payment,3
Success,2025-09-10 12:12:00,Discover,Tehran,419089.0,1,Payment,12
Fail,2025-09-12 19:19:00,Visa,Isfahan,1578078.0,14,Payment,19
Fail,2025-09-24 03:27:00,Visa,Karaj,177050.0,8,Payment,3
Fail,2025-09-15 02:30:00,Amex,Tabriz,343679.0,66,Payment,2
Fail,2025-09-27 05:23:00,Master Card,Tehran,443463.0,51,Payment,5
Success,2025-09-22 02:37:00,Visa,Mashhad,850000.0,79,Payment,2
Fail,2025-09-24 02:37:00,Discover,Qom,0.0,60,Zero_Amount,2
Fail,2025-09-09 11:11:00,Master Card,Shiraz,-5000.0,34,Refund,11
Success,2025-09-20 12:12:00,Master Card,Ahvaz,1768588.0,36,Payment,12
Fail,2025-09-17 08:08:00,Visa,Karaj,443463.0,62,Payment,8
Success,2025-09-30 14:30:00,Master Card,Karaj,200000.0,1,Payment,14
Fail,2025-09-17 07:08:00,Master Card,Tabriz,0.0,85,Zero_Amount,7
Success,2025-09-26 13:13:00,Visa,Qom,200000.0,42,Payment,13
Fail,2025-09-20 14:11:00,Amex,Isfahan,123456.0,1,Payment,14
Fail,2025-09-12 20:33:00,Amex,Tehran,976246.0,97,Payment,20
Success,2025-09-30 02:24:00,Amex,Isfahan,-1.0,84,Refund,2
Success,2025-09-07 14:00:00,Master Card,Tehran,1502601.0,54,Payment,14
Success,2025-09-02 14:30:00,Unknown,Ahvaz,452545.0,47,Payment,14
Success,2025-09-03 17:17:00,Visa,Karaj,-5000.0,39,Refund,17
Fail,2025-09-17 05:56:00,Visa,Mashhad,343679.0,30,Payment,5
Success,2025-09-05 09:09:00,Visa,Isfahan,471227.0,7,Payment,9
Success,2025-09-17 12:12:00,Visa,Mashhad,50200.0,22,Payment,12
Fail,2025-09-24 20:20:00,Amex,Tabriz,1472823.0,50,Payment,20
Fail,2025-09-17 18:12:00,Master Card,Tehran,250000.0,45,Payment,18
Success,2025-09-27 02:20:00,Visa,Ahvaz,914282.0,74,Payment,2
Fail,2025-09-17 21:21:00,Master Card,Ahvaz,333333.0,72,Payment,21
Success,2025-09-02 20:20:00,Visa,Isfahan,5000.0,92,Payment,20
Fail,2025-09-02 12:12:00,Master Card,Tehran,914465.0,10,Payment,12
Success,2025-09-28 11:11:00,Discover,Karaj,471227.0,14,Payment,11
Success,2025-09-22 07:08:00,Master Card,Isfahan,120000.0,46,Payment,7
Success,2025-09-23 23:59:00,Visa,Tehran,250000.0,75,Payment,23
Fail,2025-09-05 10:05:00,Visa,Ahvaz,850000.0,6,Payment,10
Fail,2025-09-01 10:48:00,Amex,Tehran,450000.0,21,Payment,10
Fail,2025-09-01 14:02:00,Visa,Qom,585954.0,62,Payment,14
Success,2025-09-19 14:55:00,Visa,Karaj,-999999.0,98,Refund,14
Success,2025-09-30 02:30:00,Master Card,Qom,0.0,19,Zero_Amount,2
Fail,2025-09-02 19:51:00,Discover,Mashhad,300000.0,89,Payment,19
Fail,2025-09-21 10:48:00,Visa,Tabriz,123456.0,82,Payment,10
Success,2025-09-12 20:20:00,Master Card,Tabriz,774681.0,100,Payment,20
Fail,2025-09-26 21:21:00,Master Card,Ahvaz,1768588.0,62,Payment,21
Success,2025-09-06 23:59:00,Visa,Tehran,471227.0,83,Payment,23
Success,2025-09-23 01:01:00,Master Card,Ahvaz,343679.0,53,Payment,1
Fail,2025-09-04 09:45:00,Visa,Mashhad,-5000.0,24,Refund,9
Fail,2025-09-23 14:11:00,Master Card,Tehran,976246.0,56,Payment,14
Success,2025-09-11 02:37:00,Master Card,Unknown,343679.0,62,Payment,2
Success,2025-09-24 07:32:00,Master Card,Shiraz,250000.0,34,Payment,7
Fail,2025-09-27 05:56:00,Amex,Isfahan,545116.0,22,Payment,5
Fail,2025-09-17 10:05:00,Amex,Mashhad,1463119.0,68,Payment,10
Fail,2025-09-06 19:40:00,Visa,Tabriz,250000.0,57,Payment,19
Success,2025-09-24 15:45:00,Master Card,Tehran,100000.0,10,Payment,15
Fail,2025-09-05 14:11:00,Visa,Qom,63489.0,66,Payment,14
Success,2025-09-20 12:34:00,Master Card,Ahvaz,1578078.0,8,Payment,12
Fail,2025-09-02 11:11:00,Visa,Tabriz,177050.0,98,Payment,11
Success,2025-09-06 06:30:00,Discover,Isfahan,976246.0,38,Payment,6
Success,2025-09-22 08:08:00,Visa,Qom,0.0,62,Zero_Amount,8
Success,2025-09-11 14:55:00,Visa,Tehran,1782689.0,28,Payment,14
Success,2025-09-16 21:21:00,Discover,Tehran,333333.0,10,Payment,21
Success,2025-09-16 04:40:00,Master Card,Tabriz,0.0,45,Zero_Amount,4
Fail,2025-09-01 11:11:00,Visa,Tehran,1782689.0,65,Payment,11
Fail,2025-09-09 02:54:00,Amex,Tehran,650000.0,99,Payment,2
Fail,2025-09-28 09:00:00,Visa,Shiraz,177050.0,67,Payment,9
Fail,2025-09-27 21:23:00,Visa,Shiraz,412308.0,9,Payment,21
Success,2025-09-06 06:06:00,Visa,Isfahan,452545.0,5,Payment,6
Fail,2025-09-16 00:00:00,Discover,Mashhad,1427657.0,10,Payment,0
Fail,2025-09-29 23:59:00,Visa,Tehran,100000.0,12,Payment,23
Fail,2025-09-03 05:23:00,Visa,Tehran,0.0,82,Zero_Amount,5
Success,2025-09-20 12:44:00,Visa,Tabriz,914282.0,58,Payment,12
Fail,2025-09-28 19:29:00,Visa,Mashhad,914465.0,21,Payment,19
Fail,2025-09-27 13:10:00,Master Card,Isfahan,-999999.0,21,Refund,13
Fail,2025-09-04 14:11:00,Visa,Qom,1472823.0,65,Payment,14
Fail,2025-09-19 23:59:00,Visa,Tehran,0.0,3,Zero_Amount,23
Fail,2025-09-26 07:08:00,Visa,Tehran,-999999.0,69,Refund,7
Success,2025-09-03 03:27:00,Master Card,Tabriz,419089.0,90,Payment,3
Fail,2025-09-19 14:55:00,Visa,Tabriz,12345.0,64,Payment,14
Success,2025-09-20 19:51:00,Visa,Tehran,555555.0,49,Payment,19
Fail,2025-09-07 07:08:00,Master Card,Tehran,471227.0,72,Payment,7
Fail,2025-09-20 16:40:00,Discover,Isfahan,-5000.0,17,Refund,16
Fail,2025-09-09 03:00:00,Master Card,Mashhad,200000.0,73,Payment,3
Success,2025-09-01 19:51:00,Visa,Ahvaz,-1.0,32,Refund,19
Success,2025-09-08 19:51:00,Master Card,Mashhad,100.5,70,Payment,19
Fail,2025-09-07 17:17:00,Visa,Tehran,63489.0,21,Payment,17
Fail,2025-09-18 10:48:00,Visa,Isfahan,914282.0,7,Payment,10
Success,2025-09-08 11:11:00,Visa,Shiraz,443463.0,7,Payment,11
Success,2025-09-01 02:37:00,Visa,Karaj,850000.0,27,Payment,2
Fail,2025-09-11 13:10:00,Master Card,Shiraz,123456.0,8,Payment,13
Success,2025-09-28 02:30:00,Discover,Tehran,100.5,73,Payment,2
Fail,2025-09-25 11:11:00,Visa,Tabriz,1578078.0,28,Payment,11
Fail,2025-09-25 05:23:00,Master Card,Karaj,0.0,79,Zero_Amount,5
Fail,2025-09-18 12:12:00,Master Card,Tehran,-5000.0,66,Refund,12
Fail,2025-09-23 11:11:00,Master Card,Tehran,976246.0,71,Payment,11
Fail,2025-09-30 17:07:00,Discover,Tehran,-999999.0,47,Refund,17
Fail,2025-09-10 02:30:00,Discover,Shiraz,0.0,82,Zero_Amount,2
Success,2025-09-03 18:12:00,Master Card,Qom,1768588.0,87,Payment,18
Fail,2025-09-07 01:01:00,Visa,Tehran,1463119.0,10,Payment,1
Fail,2025-09-28 21:10:00,Visa,Qom,914282.0,33,Payment,21
Success,2025-09-16 13:13:00,Visa,Tehran,900000.0,7,Payment,13
Success,2025-09-26 10:48:00,Visa,Shiraz,99999.0,3,Payment,10
